Title,Description,URL,Published At,Source,Title Sentiment,Description Sentiment
Cars set to get costlier from April as auto majors announce price hikes,"Car prices are set to rise in April, with automakers like Maruti Suzuki, Hyundai, Tata Motors, and Mahindra & Mahindra announcing hikes due to rising input costs and operational expenses. Maruti plans a 4% increase across its range, while Hyundai and Mahindra…",https://economictimes.indiatimes.com/industry/auto/auto-news/cars-set-to-get-costlier-from-april-as-maruti-tata-mahindra-hyundai-announce-price-hikes/articleshow/119367734.cms,2025-03-23T05:45:06Z,The Times of India,Neutral,Positive
"Jaguar looks to woo younger, richer drivers with $160,000 Type 00","Jaguar's ambition to seduce younger, richer drivers was on full display in Paris with a presentation of its newest prototype, the Type 00, which promises all-electric luxury... at a steep price. The low-slung, muscular-looking concept car presented to Europea…",https://japantoday.com/category/business/jaguar-looks-to-woo-younger-richer-drivers-with-160-000-type-00,2025-03-22T20:57:12Z,Japan Today,Positive,Positive
"EVs go big, but price gap with ICE vehicles foils mass adoption","The significant price gap between electric and internal combustion engine vehicles is slowing the growth of EV adoption in India, despite increasing focus on eco-friendly options. While battery prices are expected to fall and domestic production to rise, the …",https://economictimes.indiatimes.com/industry/renewables/evs-go-big-but-price-gap-with-ice-vehicles-foils-mass-adoption/articleshow/119351176.cms,2025-03-22T17:51:41Z,The Times of India,Neutral,Positive
"Tech Query: What is the outlook for Tata Motors, Man Infraconstructions, Data Patterns (India), Rail Vikas Nigam Ltd (RVNL)?","We zoom in on the prospects of Tata Motors, as also the prospects of three other stocks — Man Infraconstruction, Data Patterns (India) and RVNL",https://www.thehindubusinessline.com/portfolio/technical-analysis/tech-query-what-is-the-outlook-for-tata-motors-man-infraconstructions-data-patterns-india-rail-vikas-nigam-ltd-rvnl/article69358341.ece,2025-03-22T15:45:00Z,BusinessLine,Neutral,Positive
"What do Trump’s tariffs mean for Indian auto, pharma and steel stocks?","With US reciprocal tariffs likely to start on April 2, how will it affect few sectors and stocks in India? While there are many moving parts and ambiguity, here’s some perspective to get you prepared",https://www.thehindubusinessline.com/portfolio/big-story/what-do-trumps-tariffs-mean-for-indian-auto-pharma-and-steel-stocks/article69357670.ece,2025-03-22T14:16:48Z,BusinessLine,Neutral,Positive
It takes two to Tiago,"Updated and ready to take on its rivals, the 2025 Tata Tiago.ev is here",https://www.thehindubusinessline.com/specials/auto-focus/it-takes-two-to-tiago/article69358989.ece,2025-03-22T01:30:00Z,BusinessLine,Neutral,Positive
"Jaguar looks to woo younger, richer drivers with $160,000 Type 00","Jaguar’s ambition to seduce younger, richer drivers was on full display in Paris with a presentation of its newest prototype, the Type 00, which promises all-electric luxury… at a steep price. The low-slung, muscular-looking concept car presented to European …",https://www.digitaljournal.com/world/jaguar-looks-to-woo-younger-richer-drivers-with-160000-type-00/article,2025-03-21T20:52:32Z,Digital Journal,Positive,Positive
"Jaguar Looks To Woo Younger, Richer Drivers With $160,000 Type 00","Jaguar's ambition to seduce younger, richer drivers was on full display in Paris with a presentation of its newest prototype, the Type 00, which promises all-electric luxury... at a steep price.",https://www.ibtimes.com/jaguar-looks-woo-younger-richer-drivers-160000-type-00-3767246,2025-03-21T20:36:12Z,International Business Times,Positive,Positive
"Mahindra SUVs, Trucks, And Buses To Gets Expensive By 3 Per Cent","From April 1 onwards, Mahindra Scorpio-N, Thar Roxx, and everything else sold under Mahindra Auto umbrella will get expensive by 3 per cent.",https://www.ndtv.com/auto/mahindra-price-hike-suvs-commercial-vehicles-april-1-by-3-percent-7977069,2025-03-21T14:09:43Z,NDTV News,Neutral,Neutral
"Mahindra & Mahindra to Hike SUV, Commercial Vehicle Prices from April","Mahindra & Mahindra stated that while it has tried to absorb most of the additional costs, a portion of the increase must be passed on to customers. Starting April, the company will execute new pricing across its models.",https://www.gadgets360.com/auto/news/mahindra-hike-suv-commercial-vehicles-prices-india-april-7977833,2025-03-21T13:56:53Z,Gadgets360.com,Neutral,Positive
"Mahindra to hike SUV and CV prices by up to 3% from April, joins rivals as input costs surge","Mahindra reported total auto sales of 83,702 vehicles last month, marking a 15 percent increase year-on-year, including exports.",https://www.businesstoday.in/latest/corporate/story/mahindra-follows-rivals-in-price-hike-as-input-costs-rise-to-hike-suv-and-cv-prices-by-up-to-3-from-april-468847-2025-03-21,2025-03-21T13:03:28Z,Business Today,Neutral,Positive
M&M to increase vehicle prices by up to 3% from April 1,Mahindra & Mahindra to increase vehicle prices by up to 3% due to rising input costs and commodity prices.,https://www.thehindubusinessline.com/companies/mm-to-increase-vehicle-prices-by-up-to-3-from-april-1/article69357960.ece,2025-03-21T12:37:18Z,BusinessLine,Positive,Positive
Stock market update: Nifty Auto index advances 0.61%,The Nifty Auto index closed 0.61 per cent  up  at 21756.0.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-0-61/articleshow/119301307.cms,2025-03-21T11:21:25Z,The Times of India,Positive,Positive
"Sensex, Nifty climb nearly 1% on fresh foreign fund inflows; extend rally to fifth day","From the Sensex pack, NTPC, Bajaj Finance, Kotak Mahindra Bank, Axis Bank, Nestle, Larsen & Toubro, Tata Motors, ICICI Bank, Power Grid and Zomato were among the gainers",https://www.thehindubusinessline.com/markets/sensex-nifty-climb-nearly-1-on-fresh-foreign-fund-inflows-extend-rally-to-fifth-day/article69357686.ece,2025-03-21T10:48:23Z,BusinessLine,Positive,Neutral
Estimated completion of Tata’s semiconductor fab at Dholera by Q2 of 2027-28 : Gujarat govt,"Tata Electronics is building India’s first AI-enabled fabrication unit in partnership with Taiwan’s Powerchip Semiconductor Manufacturing Corporation with a total investment of ₹91,000 crore",https://www.thehindubusinessline.com/news/national/estimated-completion-of-tatas-semiconductor-fab-at-dholera-by-q2-of-2027-28-gujarat-govt/article69357355.ece,2025-03-21T10:22:51Z,BusinessLine,Positive,Neutral
Stocks to Buy | Market Trends & Investment Strategy: Sandip Sabharwal’s Insights,"Market Expert Sandip Sabharwal in an interview to ET Now said that he expects steady growth rather than a runaway bull market. Some sectors will outperform others.Government focus on infrastructure, defense, and public projects will drive growth. Foreign inve…",https://m.economictimes.com/markets/stocks/news/stocks-to-buy-market-trends-amp-investment-strategy-sandip-sabharwals-insights/market-outlook-investment-strategy/slideshow/119293625.cms,2025-03-21T08:01:44Z,Economictimes.com,Neutral,Positive
"Tata stocks lose nearly Rs 3 lakh crore in FY25 as TCS, Titan play spoilsport. What's next?","Tata stocks: Other stocks in the Tata group that have seen a decline in their market capitalization include Artson, Automobile Corporation of Goa, Automotive Stampings and Assemblies, Rallis India, Tata Chemicals, Tata Communications, Tata Consumer Products, …",https://economictimes.indiatimes.com/markets/stocks/news/tata-stocks-lose-nearly-rs-3-lakh-crore-in-fy25-as-tcs-titan-play-spoilsport-whats-next/articleshow/119292721.cms,2025-03-21T07:53:34Z,The Times of India,Negative,Neutral
2025 Renault Duster Launched In RHD Format: Here's All About Creta Rival,"Prior to its Indian debut, the third-gen Renault Duster has made its way to South Africa in an RHD format. Well, here&#039;s all about the upcoming Hyundai Creta rival.",https://www.ndtv.com/auto/2025-renault-duster-launched-in-rhd-format-design-features-specs-price-rivals-7974842,2025-03-21T07:48:53Z,NDTV News,Positive,Positive
Midcaps vs. Largecaps: Where should investors place their bets now? Sudip Bandyopadhyay answers,"Sudip Bandyopadhyay of Inditrade Capital highlights the positive impact of auto price hikes on margins despite cost inflation, praises Bajaj Auto and Maruti, and advises caution with Ola Electric and Tata Motors. Opportunities in midcaps, defence electronics,…",https://economictimes.indiatimes.com/markets/expert-view/midcaps-vs-largecaps-where-should-investors-place-their-bets-now-sudip-bandyopadhyay-answers/articleshow/119256754.cms,2025-03-21T03:30:00Z,The Times of India,Neutral,Positive
"Stocks that will see action today: March 21, 2025","Buzzing Stocks Today, Stocks that will see action today: 21 March 2025 -  IT Stocks, Manappuram Fin, Hero MotoCorp, Hindalco, Bajaj Finance, Bajaj Housing Finance, Adani Energy Solutions, HCC, Sirca Paints, Embassy Developments, RINL, Glenmark Pharma, Railtel",https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-today-march-21-2025/article69356323.ece,2025-03-21T02:16:00Z,BusinessLine,Neutral,Positive
Tata Group partners with Tesla: A new era for Indian electric vehicle supply chains,"Tata Group companies have become global suppliers to Tesla, preparing for a bigger role if Tesla expands to India. Tesla is reportedly seeking to source components locally while negotiating incentives and tax benefits. Discussions with Indian states aim to st…",https://economictimes.indiatimes.com/industry/renewables/tata-group-partners-with-tesla-a-new-era-for-indian-electric-vehicle-supply-chains/articleshow/119270573.cms,2025-03-21T00:00:00Z,The Times of India,Neutral,Positive
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex closed  up  899.01 points at 76348.06,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119257490.cms,2025-03-20T12:00:39Z,The Times of India,Neutral,Neutral
Stock market update: Power stocks up as market rises,The 30-share BSE Sensex closed  up  899.01 points at 76348.06,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/119256201.cms,2025-03-20T11:22:36Z,The Times of India,Neutral,Neutral
Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex closed  up  899.01 points at 76348.06,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/119256040.cms,2025-03-20T11:17:28Z,The Times of India,Neutral,Neutral
Stock market update: Mining stocks mixed as market rises,The 30-share BSE Sensex closed  up  899.01 points at 76348.06,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/articleshow/119255213.cms,2025-03-20T10:56:55Z,The Times of India,Neutral,Neutral
BMW to hike car prices by up to 3% from April,"Car manufacturers in India, including BMW and Renault, announce price hikes due to rising input costs.",https://www.thehindubusinessline.com/companies/bmw-to-hike-car-prices-by-up-to-3-from-april/article69352925.ece,2025-03-20T09:58:46Z,BusinessLine,Neutral,Neutral
BMW to hike car prices by up to 3 per cent from April,"BMW Group India announced a price increase of up to 3% across its BMW and MINI car range starting April 1, 2025, marking its second hike this year. Renault India will also raise prices of its models by up to 2% from April, its first adjustment since February …",https://economictimes.indiatimes.com/industry/auto/cars-uvs/bmw-to-hike-car-prices-by-up-to-3-per-cent-from-april/articleshow/119251679.cms,2025-03-20T09:39:15Z,The Times of India,Neutral,Positive
Stocks to Buy | Investment strategies: Hemang Jani’s take on midcaps & power stocks,"Market Expert Hemang Jani in an interview to ET Now says the market has shown a steady recovery over the last three days, with a notable rebound across different sectors. Hemang Jani highlights that while NBFCs have shown some leadership, the recovery is broa…",https://m.economictimes.com/markets/stocks/news/stocks-to-buy-investment-strategies-hemang-janis-take-on-midcaps-power-stocks/market-rebound-overview/slideshow/119245751.cms,2025-03-20T06:53:10Z,Economictimes.com,Neutral,Neutral
"IndiGo set for strong growth, but SpiceJet still a risky bet: Hemang Jani","​The only thing is that one is not really sure whether you will see some big companies getting into this, something like a Bharti or a Jio or any other company, maybe Adani Group, so that part is something that is not very clear.",https://economictimes.indiatimes.com/markets/expert-view/indigo-set-for-strong-growth-but-spicejet-still-a-risky-bet-hemang-jani/articleshow/119241042.cms,2025-03-20T05:39:41Z,The Times of India,Positive,Negative
"First DeepSeek, now BYD: China’s rally may make it harder for foreign investors to bet on India again","Foreign investors are diverting their capital from India to China due to the latter's robust market rally. This shift is driven by significant gains from companies like AI startup DeepSeek and EV producer BYD, which contrast with India's slowing growth and di…",https://economictimes.indiatimes.com/markets/stocks/news/first-deepseek-now-byd-chinas-rally-may-make-it-harder-for-foreign-investors-to-bet-on-india-again/articleshow/119241973.cms,2025-03-20T05:35:57Z,The Times of India,Neutral,Positive
Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex was  up  427.15 points at 75876.2,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/119241989.cms,2025-03-20T05:35:49Z,The Times of India,Neutral,Neutral
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex was  up  431.18 points at 75880.23,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119241213.cms,2025-03-20T05:15:23Z,The Times of India,Neutral,Neutral
Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex was  up  438.6 points at 75887.65,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/119241014.cms,2025-03-20T05:10:15Z,The Times of India,Neutral,Neutral
Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex was  up  474.26 points at 75923.31,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/119240813.cms,2025-03-20T05:05:07Z,The Times of India,Neutral,Neutral
Renault Car Prices To Increase By Up To 2 Percent From April 2025,"Renault India has models like Triber, Kiger, and Kwid presently on sale in the country.",https://www.ndtv.com/auto/renault-car-prices-to-increase-by-up-to-2-percent-from-april-2025-7965415,2025-03-20T05:04:34Z,NDTV News,Positive,Positive
Stock market update: Stocks that hit 52-week lows on NSE,"Bajaj Finance,  Trent,  L&T,  Tata Steel and  Adani Ports SEZ were among the top losers on NSE.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/119239924.cms,2025-03-20T04:44:34Z,The Times of India,Negative,Negative
Renault India to increase car prices by up to 2 pc from April,"Renault India will raise prices across its entire model range by up to 2 per cent starting April due to increased output costs. This is the first hike since February 2023. Other manufacturers like Maruti Suzuki, Hyundai, and Tata Motors have also announced si…",https://economictimes.indiatimes.com/industry/auto/auto-news/renault-india-to-increase-car-prices-by-up-to-2-per-cent-from-april/articleshow/119239741.cms,2025-03-20T04:43:24Z,The Times of India,Positive,Positive
Stock market update: Power stocks down as market rises,The 30-share BSE Sensex was  up  325.47 points at 75774.52,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-rises/articleshow/119239719.cms,2025-03-20T04:39:26Z,The Times of India,Neutral,Neutral
Renault India to hike prices by up to 2% from April,"The extent of the increase will vary for different variants and models, the company said in a statement",https://www.thehindubusinessline.com/companies/renault-india-to-hike-prices-by-up-to-2-from-april/article69351944.ece,2025-03-20T04:36:36Z,BusinessLine,Neutral,Positive
Stock market update: Nifty Auto index advances 1.03% in an upbeat market,The Nifty Auto index was trading 1.03 per cent  up  at 21539.8.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-1-03-in-an-upbeat-market/articleshow/119239441.cms,2025-03-20T04:34:20Z,The Times of India,Positive,Positive
Hyundai Motor shares in focus as company announces up to 3% price hike from April,"Hyundai Motor India will increase prices by up to 3% across its models starting April 2025 due to rising raw material and operational costs. This is the second price hike since Hyundai's IPO in October. Other automakers like Maruti Suzuki, Kia India, and Tata…",https://economictimes.indiatimes.com/markets/stocks/news/hyundai-motor-shares-in-focus-as-company-announces-up-to-3-price-hike-from-april/articleshow/119235457.cms,2025-03-20T02:33:29Z,The Times of India,Positive,Negative
"Stock Market Highlights 20 March 2025: Sensex settles 899 points higher on Fed rate cut hopes, Nifty closes at 23,190","Sensex, Nifty updates on 20th March 2025: Benchmark indices surged for the fourth consecutive session on Thursday, with the Sensex closing above the 76,000 mark for the first time since February, driven by the US Federal Reserve’s dovish stance and improved m…",https://www.thehindubusinessline.com/markets/share-market-today-nifty-sensex-highlights-20-march-2025/article69348717.ece,2025-03-20T01:03:08Z,BusinessLine,Positive,Positive
Commercial Vehicle Growth Trends and Forecast Report 2025: Market Projected to Reach $1.38 Trillion by 2033,"Dublin, March 19, 2025 (GLOBE NEWSWIRE) -- The ""Commercial Vehicle Market Size and Share Analysis - Growth Trends and Forecast Report 2025-2033"" report has been added to ResearchAndMarkets.com's offering.",https://www.globenewswire.com/news-release/2025/03/19/3045696/28124/en/Commercial-Vehicle-Growth-Trends-and-Forecast-Report-2025-Market-Projected-to-Reach-1-38-Trillion-by-2033.html,2025-03-19T16:08:00Z,GlobeNewswire,Positive,Positive
"Bharat Forge set to acquire AAM India’s axle business, CCI invites public comments",The Competition Commission of India (CCI) has initiated an investigation into the proposed acquisition of AAM India Manufacturing Corporation Private Ltd (AAMCPL) by Bharat Forge Ltd (BFL). A,https://www.thehindubusinessline.com/companies/bharat-forge-set-to-acquire-aam-indias-axle-business-cci-invites-public-comments/article69349822.ece,2025-03-19T15:27:30Z,BusinessLine,Neutral,Neutral
"Bharat Forge set to acquire AAM India’s axle business, CCI invites public comments",The Competition Commission of India (CCI) has initiated an investigation into the proposed acquisition of AAM India Manufacturing Corporation Private Ltd (AAMCPL) by Bharat Forge Ltd (BFL). A,https://www.thehindubusinessline.com/economy/bharat-forge-set-to-acquire-aam-indias-axle-business-cci-invites-public-comments/article69349822.ece,2025-03-19T15:27:30Z,BusinessLine,Neutral,Neutral
Tesla loses ground as Chinese EVs dominate global markets,"Tesla was once an EV leader, but now struggles to keep up as Chinese automakers outpace it in sales, pricing, and innovation, especially in emerging markets",https://restofworld.org/2025/tesla-loses-ground-chinese-ev-dominate-global-markets/,2025-03-19T11:25:58Z,Restofworld.org,Negative,Neutral
"Honda Amaze, Elevate, And City To Get More Expensive From April 2025","Honda has models like second-gen Amaze, new Amaze, Elevate, City, and City e:HEV on sale in India.",https://www.ndtv.com/auto/honda-amaze-elevate-and-city-to-get-more-expensive-from-april-2025-7959101,2025-03-19T09:26:31Z,NDTV News,Positive,Positive
"""Mera Bhav Aayega""—But when? Here’s how to manage risk like a pro!","Risk management separates winners from losers in the market. Whether you’re a trader or an investor, you cannot escape volatility—it's always been there and always will be.",https://economictimes.indiatimes.com/markets/expert-view/mera-bhav-aayegabut-when-heres-how-to-manage-risk-like-a-pro/articleshow/119200650.cms,2025-03-19T07:55:04Z,The Times of India,Positive,Negative
"At $165 billion, BYD is now bigger than India's top 5 automakers combined","BYD’s stock has surged 40% in 2025, pushing its market cap to $165.7 billion—surpassing the combined valuation of India’s top five automakers. The rally is driven by its new ultra-fast charging tech, which powers an EV in five minutes, reinforcing BYD’s domin…",https://economictimes.indiatimes.com/markets/stocks/news/at-165-billion-byd-is-now-bigger-than-indias-top-5-automakers-combined/articleshow/119200497.cms,2025-03-19T07:50:01Z,The Times of India,Positive,Positive
Stocks to Buy | Dipan Mehta’s top stock picks & sectors to watch for big gains!,"Market expert Dipan Mehta in an interview to ET Now said that unless new negative triggers emerge, we could see steady improvement in the market. The focus should now shift toward domestic growth stories. External risks like Trump’s tariffs still pose challen…",https://m.economictimes.com/markets/stocks/news/stocks-to-buy-dipan-mehtas-top-stock-picks-sectors-to-watch-for-big-gains/market-outlook-key-concerns/slideshow/119199312.cms,2025-03-19T07:05:59Z,Economictimes.com,Positive,Positive
India Manufacturing Excellence and Sustainability 4.0 Awards 2024: Frost & Sullivan celebrates industry pioneers,"Frost & Sullivan's India Manufacturing Excellence Awards (IMEA) and Sustainability 4.0 Awards celebrated companies leading in innovation, operational efficiency, and sustainability. The event, attended by industry leaders, highlighted extraordinary achievemen…",https://economictimes.indiatimes.com/news/company/corporate-trends/india-manufacturing-excellence-and-sustainability-4-0-awards-2024-frost-sullivan-celebrates-industry-pioneers/articleshow/119195355.cms,2025-03-19T06:29:30Z,The Times of India,Positive,Positive
Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex was  up  129.65 points at 75430.91,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/119194733.cms,2025-03-19T05:54:57Z,The Times of India,Neutral,Neutral
Stock market update: Nifty Auto index advances 0.61% in an upbeat market,The Nifty Auto index was trading 0.61 per cent  up  at 21364.75.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-0-61-in-an-upbeat-market/articleshow/119194431.cms,2025-03-19T05:49:49Z,The Times of India,Positive,Positive
"Zomato, Paytm, PB Fintech: Is it time to re-enter these high-beta stocks? Dipan Mehta answers",We need to be very selective when it comes to software companies and focus only on the companies which have demonstrated that they can grow at the mid-teens and not at that typical 8-10% type of growth rate because companies growing at 8-10% top line will nev…,https://economictimes.indiatimes.com/markets/expert-view/zomato-paytm-pb-fintech-is-it-time-to-re-enter-these-high-beta-stocks-dipan-mehta-answers/articleshow/119194012.cms,2025-03-19T05:48:59Z,The Times of India,Neutral,Positive
Stock market update: Power stocks up as market rises,The 30-share BSE Sensex was  up  174.12 points at 75475.38,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/119193205.cms,2025-03-19T05:29:20Z,The Times of India,Neutral,Neutral
"Kolkata-based Mihup eyes IPO, in advanced talks with top automaker","Kolkata-based Mihup is in advanced talks with a major Indian automobile manufacturer to integrate its in-car AI virtual assistant after partnering with Tata Motors. Planning an IPO within two years, Mihup aims to expand its multilingual voice solutions in the…",https://economictimes.indiatimes.com/markets/ipos/fpos/kolkata-based-mihup-eyes-ipo-in-advanced-talks-with-top-automaker/articleshow/119192643.cms,2025-03-19T05:22:14Z,The Times of India,Positive,Positive
Stock market update: FMCG stocks up as market rises,The 30-share BSE Sensex was  up  169.12 points at 75470.38,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/119192356.cms,2025-03-19T05:06:00Z,The Times of India,Neutral,Neutral
Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex was  up  170.37 points at 75471.63,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/119192049.cms,2025-03-19T04:54:53Z,The Times of India,Neutral,Neutral
Have markets bottomed out? Dipan Mehta weighs in on the road ahead,"​In fact, investors can have 70-80% of their portfolio within these four sectors and that can, I would say, high degree of them outperforming the broader indices or some of the other benchmarks.",https://economictimes.indiatimes.com/markets/expert-view/have-markets-bottomed-out-dipan-mehta-weighs-in-on-the-road-ahead/articleshow/119191765.cms,2025-03-19T04:53:31Z,The Times of India,Neutral,Neutral
Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex was  up  83.01 points at 75384.27,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/119191374.cms,2025-03-19T04:39:26Z,The Times of India,Neutral,Neutral
"Planning to buy car? Maruti, Tata, Kia to get pricier from this date: Details","Kia India will hike car prices by up to 3% from April 1 due to rising commodity prices and supply chain costs. Tata Motors and Maruti Suzuki have also announced price increases, attributing the hikes to higher input costs and operational expenses. Customers m…",https://timesofindia.indiatimes.com/auto/cars/planning-to-buy-car-maruti-tata-kia-to-get-pricier-from-this-date-details/articleshow/119190768.cms,2025-03-19T04:34:44Z,The Times of India,Negative,Negative
Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. The Nepal Stock Exchange (NEPSE) saw a slight dip of 7.10 points, closing at 2,697.59, amid notable f…",https://english.khabarhub.com/2025/19/448802/,2025-03-19T02:15:21Z,Khabarhub.com,Neutral,Positive
